Date                    WaferID                 SawMark[um]             Thickness[um]           Thickness Max[um]       Thickness Min[um]       Resistivity[Ohmcm]      PN Type                 TTV[um]                 Edge Warp               Bow                     Line1 Avg[um]           Line2 Avg[um]           Line3 Avg[um]           Temperature             
02/23/2015 18:50:43     122                     8.80                    182.66                  189.26                  167.63                  1.53                    P                       21.63                   23.23                   -389.20                 182.31                  183.15                  182.52                  29.00                   
02/23/2015 18:51:34     123                     8.25                    183.03                  188.90                  167.58                  1.53                    P                       21.32                   29.45                   -391.75                 182.55                  183.60                  182.95                  29.00                   
02/23/2015 18:52:09     124                     21.32                   182.70                  188.71                  167.60                  1.52                    P                       21.11                   54.99                   -386.43                 182.13                  183.11                  182.86                  29.00                   
02/23/2015 18:52:42     125                     11.74                   182.22                  188.31                  167.33                  1.51                    P                       20.98                   39.51                   -398.97                 181.56                  182.38                  182.71                  29.00                   
02/23/2015 18:53:08     126                     9.74                    183.07                  188.42                  169.16                  1.52                    P                       19.26                   26.58                   -387.24                 182.78                  183.55                  182.88                  29.00                   
02/23/2015 18:53:41     127                     7.45                    182.92                  189.72                  169.04                  1.52                    NA                      20.68                   26.24                   -390.31                 182.57                  183.42                  182.78                  29.00                   
02/23/2015 18:54:11     128                     11.87                   183.76                  189.67                  168.89                  1.51                    P                       20.78                   217.45                  -363.25                 183.55                  184.78                  182.94                  29.00                   
02/23/2015 18:54:43     129                     8.84                    183.04                  189.31                  168.02                  1.52                    P                       21.29                   36.31                   -389.27                 182.70                  183.29                  183.12                  29.00                   
02/23/2015 18:55:39     130                     7.76                    182.94                  188.31                  168.55                  1.53                    P                       19.76                   26.74                   -393.14                 182.52                  183.41                  182.90                  29.00                   
02/23/2015 18:56:15     131                     7.97                    182.63                  189.10                  167.64                  1.53                    P                       21.46                   22.66                   -389.69                 182.32                  183.08                  182.50                  29.00                   
